,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
ABBV_vol_21,-0.0657388996433206,0.0028578672761884164,-0.008959701586169986,0.010958524831153501,0.018650902188117335,-0.028321282472262767,-0.013962150144780333,-0.049813080307610835,0.028354836779105125,0.07171312515952934,0.03170912023744048,-0.016938453899507447,0.016814803273359626,0.07483227582126023,-0.01235592027273328
ABT_vol_21,-0.015430031017940394,0.0321559015232895,0.007021496643113272,-0.022173595332004324,-0.0015527655383875084,0.028434033708877638,0.020796770636036403,-0.004584286517466935,-0.005333458413903455,-0.0002938627257709305,0.04382841589831946,0.024077065855903627,-0.021644554896385077,-0.0015733617287159573,0.012417190016839327
ADM_vol_21,-0.007431522525232537,-0.0038833812144868957,-0.0030897259228243306,0.032144670033253615,-0.07049235155162556,0.019647754194002855,0.01777084509737359,0.007673702023345908,-0.012095419427675289,-0.03923744520145098,-0.01947787692150081,0.004413541790751098,0.020682206347101165,-0.0011908158744455134,-0.008714093835637761
AES_vol_21,0.023393616782326133,0.017979808402533538,0.003595336625558714,0.009829203051175406,-0.10248115651594093,-0.0015982151126406649,-0.03962346495953698,-0.055867507587450065,0.036788999502311646,-0.02002765453032499,-0.01761038813093658,-0.0014988507766398528,-0.015428110024183294,-0.03201632229413952,-0.008517136799784563
AJG_vol_21,0.0017273381079887253,0.005056900704390821,-0.0032526990186498212,0.0007571466334831175,-0.016049568781741467,-0.002509364130066233,0.009049343414302073,-0.015098347294991139,-0.007235366989583486,-0.014350847624162581,-0.033489615728403734,0.01959334439992333,0.011299460327390784,0.01953142469809319,-0.003980530599813483
ALB_vol_21,0.09447814261556257,0.052093151842653944,-0.041392101127848226,0.07297648868183944,-0.05506227412749929,-0.020818334977281874,0.014429349311509604,-0.006334818020473887,0.1299360077960138,-0.0061782125470646555,0.003034535076339471,0.05778957386452753,0.012915402093128131,0.034640578922595235,0.02550238998903319
ALL_vol_21,0.017164403069383185,-0.008409336112544998,-0.019305580727031972,0.013068642780924514,-0.010617834105087091,0.019311339714936218,0.0032710923254386927,-0.031890348519791195,-0.021745240832676264,0.04940032417825222,-0.02104684351168595,-0.04324795683125306,-0.02166610751266978,0.004110624496805864,-0.03275938923529641
ALLE_vol_21,-0.0021358480008120792,-0.027923161177635873,-0.008753738227170838,-0.016556862671337592,-0.013630312313398164,0.0027189824014276264,0.010978514981828847,0.00024165853933578,-0.024069042485759612,0.005012262688490531,-0.01042533270443386,-0.04943949644886319,0.007221460323832377,-0.010468388916451268,-0.016213548673524612
AMP_vol_21,-0.0013433573790605155,-0.01879008840239143,0.045386923395761475,0.03807290122001883,0.05385158229171959,-0.011036802653791105,-0.0075328765868713605,-0.04285363546703331,-0.06428890103503251,-0.029991036727622232,-0.06562296938371281,-0.015847325763373693,-0.02329546101802511,0.03757224104767354,-0.01935797873907561
AMZN_vol_21,-0.012195830020276499,-0.019375651103647397,-0.059449377773704196,-0.012319535899697318,0.031996029862377026,0.11418475842025039,-0.021634287800613942,0.0654665064639661,-0.03908774857798941,0.09592846790956293,0.03059816127524638,-0.006888197741317871,-0.022743023533324278,0.0026882722169614703,0.08610708801628413
ANET_vol_21,-0.036322273458039185,0.1056495575899697,-0.04031269979122294,0.019706339069210228,-0.01868107905435988,0.036391604559934815,-0.08511107440659658,-0.014787483298175731,0.0392865569482745,0.1285132098233522,-0.06343698306765125,-0.15784774560057294,-0.06848865745650617,0.042504025960870606,0.015126805204401007
ANSS_vol_21,0.025042761152425302,0.0011558375779708039,-0.028368563864338472,-0.006396910844946243,0.013826118156063735,0.0028271636854063976,0.03594887032726115,0.05180020021179145,-0.00942411918100698,0.00026682222140132143,0.024975695668444434,0.009579537335407756,-0.01114269269438575,-0.012690316969022453,0.058452725681434885
