,UMAP1,UMAP2
2011-01-04,-5.7212567,17.770657
2011-01-05,-5.7597027,17.819014
2011-01-06,-5.772192,17.834753
2011-01-07,-5.8069143,17.869692
2011-01-10,-5.803687,17.867617
2011-01-11,-5.8078327,17.871302
2011-01-12,-5.915605,17.990475
2011-01-13,-5.9149995,17.99372
2011-01-14,-5.9401865,18.020576
2011-01-18,-5.9653754,18.015177
2011-01-19,-6.082535,18.172943
2011-01-20,-6.1526666,18.31756
2011-01-21,-6.069427,18.29877
2011-01-24,-6.0688567,18.272776
2011-01-25,-6.0275006,18.326216
2011-01-26,-5.9603977,18.392368
2011-01-27,-5.766869,18.52554
2011-01-28,-5.764479,18.535366
2011-01-31,-5.7492023,18.519697
2011-02-01,-5.728875,18.540953
2011-02-02,-5.726594,18.546694
2011-02-03,-5.735381,18.53496
2011-02-04,-5.70222,18.573822
2011-02-07,-5.703113,18.566347
2011-02-08,-5.6965494,18.560865
2011-02-09,-5.7261534,18.53961
2011-02-10,-5.715866,18.551685
2011-02-11,-5.7443523,18.55128
2011-02-14,-5.7279696,18.5684
2011-02-15,-5.737054,18.55613
2011-02-16,-5.715962,18.574293
2011-02-17,-5.730176,18.54748
2011-02-18,-5.78788,18.536415
2011-02-22,-6.687409,18.727942
2011-02-23,-6.730562,18.766785
2011-02-24,-6.692615,18.728594
2011-02-25,-6.57288,18.627985
2011-02-28,-6.4723988,18.538898
2011-03-01,-6.513125,18.569958
2011-03-02,-6.4789977,18.535397
2011-03-03,-6.493981,18.548101
2011-03-04,-6.45202,18.515322
2011-03-07,-6.668544,18.697758
2011-03-08,-6.69076,18.711958
2011-03-09,-6.7002983,18.731926
2011-03-10,-6.9101524,18.866549
2011-03-11,-6.943288,18.881353
2011-03-14,-6.9889927,18.940989
2011-03-15,-7.0921693,18.934584
2011-03-16,-7.12034,18.954592
2011-03-17,-7.126918,18.927233
2011-03-18,-7.13354,18.9411
2011-03-21,-7.15139,18.935036
2011-03-22,-7.097422,18.909481
2011-03-23,-7.1108108,18.918953
2011-03-24,-7.1025505,18.886786
2011-03-25,-7.176645,18.900307
2011-03-28,-7.2690353,18.92849
2011-03-29,-7.2377543,18.906208
2011-03-30,-7.225496,18.946405
2011-03-31,-6.808373,18.777405
2011-04-01,-6.8057866,18.786324
2011-04-04,-6.795491,18.788004
2011-04-05,-6.766099,18.793394
2011-04-06,-6.707506,18.728218
2011-04-07,-6.6761594,18.710604
2011-04-08,-6.2884617,18.373816
2011-04-11,-6.253017,18.347218
2011-04-12,-6.2892947,18.365019
2011-04-13,-6.282551,18.37685
2011-04-14,-6.252102,18.363815
2011-04-15,-6.268782,18.368715
2011-04-18,-6.2478833,18.352392
2011-04-19,-6.2276917,18.348883
2011-04-20,-6.3665032,18.440987
2011-04-21,-6.357866,18.431068
2011-04-25,-6.3330536,18.409468
2011-04-26,-6.412653,18.482605
2011-04-27,-6.4101977,18.476225
2011-04-28,-6.430298,18.497461
2011-04-29,-6.440368,18.504692
2011-05-02,-6.832202,18.872799
2011-05-03,-6.8577895,18.9698
2011-05-04,-7.085312,19.38582
2011-05-05,-7.080325,19.433819
2011-05-06,-7.09053,19.444067
2011-05-09,-7.147917,19.52355
2011-05-10,-7.18474,19.606045
2011-05-11,-7.250214,19.6963
2011-05-12,-7.151291,19.565222
2011-05-13,-7.3021393,19.773306
2011-05-16,-7.276358,19.74601
2011-05-17,-7.281291,19.749252
2011-05-18,-7.298629,19.717775
2011-05-19,-7.193669,19.643929
2011-05-20,-7.1780095,19.611303
2011-05-23,-7.1927066,19.636215
2011-05-24,-7.2572412,19.709986
2011-05-25,-7.159811,19.601763
2011-05-26,-7.1934505,19.639027
2011-05-27,-7.2556515,19.71938
2011-05-31,-7.285031,19.74403
2011-06-01,-7.3133225,19.780346
2011-06-02,-7.3388042,19.814127
2011-06-03,-7.3197656,19.787096
2011-06-06,-7.3017635,19.768627
2011-06-07,-7.3000307,19.758936
2011-06-08,-7.2830176,19.75418
2011-06-09,-7.2583895,19.718416
2011-06-10,-7.285218,19.753977
2011-06-13,-7.3132772,19.756504
2011-06-14,-7.3339653,19.784096
2011-06-15,-7.32467,19.783989
2011-06-16,-7.3129263,19.783749
2011-06-17,-7.2334676,19.691708
2011-06-20,-7.3029695,19.771996
2011-06-21,-7.2811084,19.799889
2011-06-22,-7.2801743,19.758366
2011-06-23,-7.248081,19.711567
2011-06-24,-7.2809596,19.738024
2011-06-27,-7.2378736,19.695744
2011-06-28,-6.8661537,19.052942
2011-06-29,-6.891385,18.891247
2011-06-30,-7.027373,18.792318
2011-07-01,-7.051208,18.770473
2011-07-05,-7.0503235,18.75743
2011-07-06,-7.112831,18.780125
2011-07-07,-7.112237,18.700518
2011-07-08,-7.168494,18.803396
2011-07-11,-7.697534,18.75961
2011-07-12,-7.7187705,18.744871
2011-07-13,-7.7388287,18.739128
2011-07-14,-7.7105784,18.745235
2011-07-15,-7.7056556,18.74215
2011-07-18,-7.649659,18.802326
2011-07-19,-7.7483153,18.71418
2011-07-20,-7.7575955,18.71271
2011-07-21,-7.788651,18.704407
2011-07-22,-7.775002,18.722506
2011-07-25,-7.7905035,18.705444
2011-07-26,-7.7987704,18.70487
2011-07-27,-7.7816215,18.721622
2011-07-28,-7.795087,18.715864
2011-07-29,-7.7829947,18.705004
2011-08-01,-7.7595406,18.7304
2011-08-02,-7.7795634,18.716248
2011-08-03,-7.760017,18.734417
2011-08-04,-7.759082,18.741308
2011-08-05,-7.7656302,18.732891
2011-08-08,2.7786763,23.401907
2011-08-09,2.6315625,23.817808
2011-08-10,2.619812,23.84599
2011-08-11,2.6070092,23.85943
2011-08-12,2.6377378,23.826231
2011-08-15,2.6376526,23.825987
2011-08-16,2.6241348,23.837494
2011-08-17,2.6205435,23.847698
2011-08-18,2.6072555,23.852911
2011-08-19,2.6092722,23.859213
2011-08-22,2.6173217,23.84592
2011-08-23,2.6135364,23.85056
2011-08-24,2.6181135,23.845224
2011-08-25,2.6189942,23.83984
2011-08-26,2.6102655,23.814383
2011-08-29,2.623619,23.826519
2011-08-30,2.6295676,23.808674
2011-08-31,2.6156433,23.840546
2011-09-01,2.6351576,23.812551
2011-09-02,2.6328008,23.778406
2011-09-06,2.6491742,23.743982
2011-09-07,2.6728828,23.651058
2011-09-08,2.8213344,23.205866
2011-09-09,2.8158677,23.22159
2011-09-12,2.8239775,23.173832
2011-09-13,2.818642,23.148178
2011-09-14,2.8391309,23.16065
2011-09-15,2.8986502,23.152412
2011-09-16,2.86914,23.199324
2011-09-19,2.966768,23.05877
2011-09-20,2.9714556,23.037495
2011-09-21,2.9010599,23.119375
2011-09-22,2.843444,23.115631
2011-09-23,2.8315578,23.121555
2011-09-26,2.8123393,23.120342
2011-09-27,2.8121572,23.134605
