,regime
1970-01-01 00:00:00.801797400,1
1970-01-01 00:00:00.801883800,3
1970-01-01 00:00:00.801970200,3
1970-01-01 00:00:00.802056600,3
1970-01-01 00:00:00.802315800,3
1970-01-01 00:00:00.802402200,3
1970-01-01 00:00:00.802488600,3
1970-01-01 00:00:00.802575000,3
1970-01-01 00:00:00.802661400,3
1970-01-01 00:00:00.802920600,3
1970-01-01 00:00:00.803007000,3
1970-01-01 00:00:00.803093400,3
1970-01-01 00:00:00.803179800,3
1970-01-01 00:00:00.803266200,3
1970-01-01 00:00:00.803525400,3
1970-01-01 00:00:00.803611800,3
1970-01-01 00:00:00.803698200,3
1970-01-01 00:00:00.803784600,3
1970-01-01 00:00:00.803871000,3
1970-01-01 00:00:00.804130200,3
1970-01-01 00:00:00.804216600,3
1970-01-01 00:00:00.804303000,3
1970-01-01 00:00:00.804389400,3
1970-01-01 00:00:00.804475800,3
1970-01-01 00:00:00.804735000,3
1970-01-01 00:00:00.804821400,3
1970-01-01 00:00:00.804907800,3
1970-01-01 00:00:00.804994200,3
1970-01-01 00:00:00.805080600,3
1970-01-01 00:00:00.805339800,3
1970-01-01 00:00:00.805426200,3
1970-01-01 00:00:00.805512600,3
1970-01-01 00:00:00.805599000,3
1970-01-01 00:00:00.805685400,3
1970-01-01 00:00:00.805944600,3
1970-01-01 00:00:00.806031000,3
1970-01-01 00:00:00.806117400,3
1970-01-01 00:00:00.806203800,3
1970-01-01 00:00:00.806290200,3
1970-01-01 00:00:00.806549400,3
1970-01-01 00:00:00.806635800,3
1970-01-01 00:00:00.806722200,3
1970-01-01 00:00:00.806808600,3
1970-01-01 00:00:00.806895000,3
1970-01-01 00:00:00.807154200,3
1970-01-01 00:00:00.807240600,3
1970-01-01 00:00:00.807327000,3
1970-01-01 00:00:00.807413400,3
1970-01-01 00:00:00.807499800,3
1970-01-01 00:00:00.807759000,3
1970-01-01 00:00:00.807845400,3
1970-01-01 00:00:00.807931800,3
1970-01-01 00:00:00.808018200,3
1970-01-01 00:00:00.808104600,3
1970-01-01 00:00:00.808363800,3
1970-01-01 00:00:00.808450200,3
1970-01-01 00:00:00.808536600,3
1970-01-01 00:00:00.808623000,3
1970-01-01 00:00:00.808709400,3
1970-01-01 00:00:00.808968600,3
1970-01-01 00:00:00.809055000,3
1970-01-01 00:00:00.809141400,3
1970-01-01 00:00:00.809227800,3
1970-01-01 00:00:00.809314200,3
1970-01-01 00:00:00.809573400,3
1970-01-01 00:00:00.809659800,3
