,avg_vol_126,vol_dispersion_126,avg_pairwise_corr_63,PC1_var,cum_var_3,effective_dimension
2017-10-23,-1.0931247504246704,-1.095096373269418,2.51283466411234,0.34549544933796,0.19271942820792842,-0.3573685329383003
2017-10-24,-1.0931700381452252,-1.0951052054457102,2.433990318805853,0.36916580687990763,0.20809009801495018,-0.38145053191801914
2017-10-25,-1.0918306211429512,-1.0947849099263751,2.144073875812642,0.35432694752688815,0.2103636175909459,-0.3654854671790505
2017-10-26,-1.0915783558510361,-1.094580503438817,1.3103079632525418,0.36753955763422724,0.21215701222991434,-0.3793957114509969
2017-10-27,-1.0916699634871896,-1.094798791004192,1.519262979020187,0.3781764622821536,0.2919322835964772,-0.38489321739617804
2017-10-30,-1.0918712583837387,-1.0948920186947129,1.6931050560292942,0.37306262721986677,0.31352976364694113,-0.377867301416365
2017-10-31,-1.0920225182433108,-1.0947892141666784,1.7859215664652908,0.37884362211036554,0.3172262855873893,-0.3837575514946986
2017-11-01,-1.092649560851572,-1.094942422413306,1.99171222660495,0.45594917726529927,0.421000497700138,-0.4582512687814704
2017-11-02,-1.0923417252251564,-1.0947876553827087,1.5214416420579233,0.4709819105937215,0.38129717152662995,-0.47714926269068064
2017-11-03,-1.0919044657097283,-1.0945925058441426,1.3037943539762924,0.49399734718589733,0.41154430067089076,-0.4994210917689002
2017-11-06,-1.0928723766629647,-1.0945972159173036,1.2907211968637695,0.4959620457461115,0.4130374269624273,-0.5014024208491241
2017-11-07,-1.092448926910613,-1.0944893355347554,1.289738660140818,0.48542682862797104,0.3842625395049769,-0.492296311822911
2017-11-08,-1.0925407341728184,-1.0946795567006125,0.20646183229956364,0.5508492901004424,0.39931794098359624,-0.5607822809532039
2017-11-09,-1.0926956060753128,-1.0945710234661679,-1.2450151147465849,0.622888768409971,0.4050227693823799,-0.6369698852540078
2017-11-10,-1.0932710551866882,-1.094010678676958,-0.10403604361093081,0.5976650014493754,0.3771132977392941,-0.6122016754233065
2017-11-13,-1.0934374686519346,-1.094220585034027,-0.16512582159961245,0.5990220154864163,0.3745037158941702,-0.6138338613354221
2017-11-14,-1.095604724026023,-1.094643456431055,-0.6620706788308212,0.6415081555264225,0.38302159205067615,-0.6583832345831584
2017-11-15,-1.0961414369835278,-1.0947819588905578,-0.09432462133223331,0.6476687067226452,0.3933607261816675,-0.6641836279635236
2017-11-16,-1.096493092090258,-1.0946601760516859,-0.49962627785900043,0.6624405103115681,0.37654680261247786,-0.6811096105496537
