,regime
2023-03-28,2
2023-03-29,2
2023-03-30,2
2023-03-31,2
2023-04-03,2
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-10,0
2023-04-11,0
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,1
2023-04-28,1
2023-05-01,1
2023-05-02,1
2023-05-03,1
2023-05-04,1
2023-05-05,1
2023-05-08,1
2023-05-09,1
2023-05-10,1
2023-05-11,1
2023-05-12,1
2023-05-15,1
2023-05-16,1
2023-05-17,1
2023-05-18,1
2023-05-19,1
2023-05-22,1
2023-05-23,1
2023-05-24,1
2023-05-25,1
2023-05-26,1
2023-05-30,1
2023-05-31,1
2023-06-01,1
2023-06-02,1
2023-06-05,1
2023-06-06,1
2023-06-07,1
2023-06-08,1
2023-06-09,1
2023-06-12,1
2023-06-13,1
2023-06-14,1
2023-06-15,1
2023-06-16,1
2023-06-20,3
2023-06-21,3
2023-06-22,3
2023-06-23,3
2023-06-26,3
2023-06-27,3
2023-06-28,3
2023-06-29,3
2023-06-30,3
2023-07-03,3
2023-07-05,3
2023-07-06,3
2023-07-07,3
2023-07-10,3
2023-07-11,3
2023-07-12,3
2023-07-13,3
